id,jlpt_level,word,reading,meaning,image_review,source_file
n5_07730,N5,お姉さん,おねえさん,(honorable) older sister,OK,D:\codex-2\tup\NO\n5_07730_お姉さん.png
n5_07832,N5,コート,コート,"coat,tennis court",OK,D:\codex-2\tup\NO\n5_07832_コート.png
n5_07915,N5,二人,ふたり,two people,OK,D:\codex-2\tup\NO\n5_07915_二人.png
n5_07980,N5,切符,きっぷ,ticket,OK,D:\codex-2\tup\NO\n5_07980_切符.png
n5_08001,N5,友達,ともだち,friend,OK,D:\codex-2\tup\NO\n5_08001_友達.png
n5_08005,N5,台所,だいどころ,kitchen,OK,D:\codex-2\tup\NO\n5_08005_台所.png
n5_08048,N5,奥さん,おくさん,(honorable) wife,OK,D:\codex-2\tup\NO\n5_08048_奥さん.png
n5_08059,N5,学校,がっこう,school,OK,D:\codex-2\tup\NO\n5_08059_学校.png
n5_08060,N5,学生,がくせい,student,OK,D:\codex-2\tup\NO\n5_08060_学生.png
n5_08064,N5,家族,かぞく,family,OK,D:\codex-2\tup\NO\n5_08064_家族.png
n5_08075,N5,川/河,かわ,river,OK,D:\codex-2\tup\NO\n5_08075_川_河_00004_.png
n5_08083,N5,座る,すわる,to sit,OK,D:\codex-2\tup\NO\n5_08083_座る_00004_.png
n5_08086,N5,建物,たてもの,building,OK,D:\codex-2\tup\NO\n5_08086_建物_00004_.png
n5_08103,N5,手紙,てがみ,letter,OK,D:\codex-2\tup\NO\n5_08103_手紙.png
n5_08154,N5,机,つくえ,desk,OK,D:\codex-2\tup\NO\n5_08154_机.png
n5_08171,N5,歯,は,tooth,OK,D:\codex-2\tup\NO\n5_08171_歯.png
n5_08187,N5,海,うみ,sea,OK,D:\codex-2\tup\NO\n5_08187_海.png
n5_08236,N5,立つ,たつ,to stand,OK,D:\codex-2\tup\NO\n5_08236_立つ_00004_.png
n5_08267,N5,葉書,はがき,postcard,OK,D:\codex-2\tup\NO\n5_08267_葉書.png
n5_08297,N5,足,あし,"foot,leg",OK,D:\codex-2\tup\NO\n5_08297_足.png
n5_08335,N5,電話,でんわ,telephone,OK,D:\codex-2\tup\NO\n5_08335_電話.png
n5_08350,N5,食べ物,たべもの,food,OK,D:\codex-2\tup\NO\n5_08350_食べ物_00004_.png
n5_08363,N5,黒い,くろい,black,OK,D:\codex-2\tup\NO\n5_08363_黒い_00004_.png
