id,jlpt_level,word,reading,meaning,part1_review,source_file
n5_07725,N5,おなか,おなか,stomach,OK,D:\codex-2\tup\part1\n5_07725_おなか_00000.png
n5_07729,N5,お兄さん,おにいさん,(honorable) older brother,OK,D:\codex-2\tup\part1\n5_07729＿お兄さん_00000.png
n5_07734,N5,お父さん,おとうさん,(honorable) father,OK,D:\codex-2\tup\part1\n5_07734＿お父さん_00000.png
n5_07739,N5,お金,おかね,money,OK,D:\codex-2\tup\part1\n5_07739_お金.png
n5_07830,N5,コップ,コップ / コツフ,a glass,OK,D:\codex-2\tup\part1\n5_07830_コップ.png
n5_07833,N5,コーヒー,コーヒー,coffee,OK,D:\codex-2\tup\part1\n5_07833_コーヒー.png
n5_07834,N5,シャツ,シャツ,shirt,OK,D:\codex-2\tup\part1\n5_07834＿シャツ.png
n5_07836,N5,スカート,スカート,skirt,OK,D:\codex-2\tup\part1\n5_07836＿スカート.png
n5_07838,N5,スプーン,スプーン / スプン,spoon,OK,D:\codex-2\tup\part1\n5_07838_スプーン.png
n5_07880,N5,ワイシャツ,ワイシャツ,business shirt,OK,D:\codex-2\tup\part1\n5_07880＿ワイシャツ.png
n5_07893,N5,万年筆,まんねんひつ,fountain pen,OK,D:\codex-2\tup\part1\n5_07893_万年筆.png
n5_07901,N5,上着,うわぎ,jacket,OK,D:\codex-2\tup\part1\n5_07901_上着.png
n5_07923,N5,交番,こうばん,police box,OK,D:\codex-2\tup\part1\n5_07923_交番.png
n5_08003,N5,口,くち,"mouth,opening",OK,D:\codex-2\tup\part1\n5_08003_口_00000.png
n5_08046,N5,天気,てんき,weather,OK,D:\codex-2\tup\part1\n5_08046_天気.png
n5_08079,N5,帽子,ぼうし,hat,OK,D:\codex-2\tup\part1\n5_08079_帽子.png
n5_08129,N5,昼御飯,ひるごはん,midday meal,OK,D:\codex-2\tup\part1\n5_08129_昼御飯.png
n5_08141,N5,曇り,くもり,cloudy weather,OK,D:\codex-2\tup\part1\n5_08141_曇り.png
n5_08184,N5,洋服,ようふく,western-style clothes,OK,D:\codex-2\tup\part1\n5_08184_洋服.png
n5_08251,N5,耳,みみ,ear,OK,D:\codex-2\tup\part1\n5_08251_耳_00000.png
n5_08331,N5,雨,あめ,rain,OK,D:\codex-2\tup\part1\n5_08331_雨.png
n5_08340,N5,靴,くつ,shoes,OK,D:\codex-2\tup\part1\n5_08340_靴.png
n5_08341,N5,靴下,くつした,socks,OK,D:\codex-2\tup\part1\n5_08341_靴下.png
n5_08364,N5,鼻,はな,nose,OK,D:\codex-2\tup\part1\n5_08364＿鼻_00000.png
