id,jlpt_level,word,reading,image_review,meaning,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh
n5_07985,N5,動物,どうぶつ,OK,animal,noun (common) (futsuumeishi),animal,direct_image,84,single_object_or_place,animal,animal,動物,animal,concrete noun domain: animal,Tanos JLPT vocabulary,动物
n5_08203,N5,犬,いぬ,OK,dog,noun (common) (futsuumeishi),dog (Canis (lupus) familiaris) | canine | squealer | rat | snitch,direct_image,84,single_object_or_place,animal,dog,犬,animal,concrete noun domain: animal,Tanos JLPT vocabulary,狗头
n5_08205,N5,猫,ねこ,OK,cat,noun (common) (futsuumeishi),"cat (esp. the domestic cat, Felis catus) | feline | shamisen | geisha | wheelbarrow",direct_image,84,single_object_or_place,animal,cat,猫,animal,concrete noun domain: animal,Tanos JLPT vocabulary,猫
n5_08357,N5,魚,さかな,OK,fish,noun (common) (futsuumeishi),fish,direct_image,84,single_object_or_place,animal,fish,魚,animal,concrete noun domain: animal,Tanos JLPT vocabulary,鱼
n5_08358,N5,鳥,とり,OK,bird,noun (common) (futsuumeishi),bird | bird meat (esp. chicken meat) | fowl | poultry,direct_image,84,single_object_or_place,animal,bird,鳥,animal,concrete noun domain: animal,Tanos JLPT vocabulary,鸟
n5_07725,N5,おなか,おなか,OK,stomach,noun (common) (futsuumeishi),belly | abdomen | stomach,direct_image,84,single_object_or_place,body_health,stomach,おなか,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,胃脏
n5_07941,N5,体,からだ,OK,body,noun (common) (futsuumeishi),body | torso | trunk | build | physique,direct_image,84,single_object_or_place,body_health,body,体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,机构
n5_07950,N5,元気,げんき,OK,"health, vitality",adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi),lively | full of spirit | energetic | vigorous | vital,direct_image,84,single_object_or_place,body_health,health,元気,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,健康、活力
n5_08003,N5,口,くち,OK,"mouth,opening",noun (common) (futsuumeishi),mouth | opening | hole | gap | orifice,direct_image,84,single_object_or_place,body_health,mouth,口,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,开口
n5_08102,N5,手,て,OK,hand,noun (common) (futsuumeishi),hand | arm | forepaw | foreleg | handle,direct_image,84,single_object_or_place,body_health,hand,手,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,手执
n5_08171,N5,歯,は,OK,tooth,noun (common) (futsuumeishi),"tooth | teeth | tooth (of a comb, saw, etc.) | cog | support (of a geta)",direct_image,84,single_object_or_place,body_health,tooth,歯,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,牙齿
n5_08224,N5,目,め,OK,eye,noun (common) (futsuumeishi),eye | eyeball | eyesight | sight | vision,direct_image,84,single_object_or_place,body_health,eye,目,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,双眼
n5_08251,N5,耳,みみ,OK,ear,noun (common) (futsuumeishi),"ear | hearing | ear (for music, etc.) | edge | crust",direct_image,84,single_object_or_place,body_health,ear,耳,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,耳朵
n5_08269,N5,薬,くすり,OK,medicine,noun (common) (futsuumeishi),medicine | pharmaceuticals | (legal) drugs | pill | ointment,direct_image,84,single_object_or_place,body_health,medicine,薬,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,药
n5_08297,N5,足,あし,OK,"foot,leg",noun (common) (futsuumeishi),"foot | paw | arm (of an octopus, squid, etc.) | leg | gait",direct_image,84,single_object_or_place,body_health,foot,足,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,"脚,脚"
n5_08364,N5,鼻,はな,OK,nose,noun (common) (futsuumeishi),nose,direct_image,84,single_object_or_place,body_health,nose,鼻,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,鼻头
n5_07832,N5,コート,コート,OK,"coat,tennis court",noun (common) (futsuumeishi),coat | coating,direct_image,84,single_object_or_place,clothing,coat,コート,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,"外衣,tennis法庭"
n5_07834,N5,シャツ,シャツ,OK,shirt,noun (common) (futsuumeishi),shirt (undergarment) | undershirt | singlet | shirt (outerwear; usu. with collar and buttons),direct_image,84,single_object_or_place,clothing,shirt,シャツ,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,衬衫
n5_07836,N5,スカート,スカート,OK,skirt,noun (common) (futsuumeishi),skirt,direct_image,84,single_object_or_place,clothing,skirt,スカート,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,线条
n5_07880,N5,ワイシャツ,ワイシャツ,OK,business shirt,noun (common) (futsuumeishi),(formal) shirt | dress shirt | business shirt | button-up shirt,direct_image,84,single_object_or_place,clothing,business shirt,ワイシャツ,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,商务衬衫
